date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:41	23328/23328	---MCZ	200	added ('OK')	text/html	etag:W/%226b4a6a72cb1d1226eaf7d5ff4dd34b06%22	https://rectifyprotocolnode.vercel.app/	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/index.html	(from )
15:36:42	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2014:36:49%20GMT	https://rectifyprotocolnode.vercel.app/robots.txt		(from )
15:36:43	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22025d651ad0df0f4289335a9380e8c09b%22	https://rectifyprotocolnode.vercel.app/favicon.ico	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/favicon.ico	(from https://rectifyprotocolnode.vercel.app/)
15:36:43	25427/25427	---MCZ	200	added ('OK')	text/css	etag:W/%221c7ad0a97d2dc2da70b8d855ae946cae%22	https://rectifyprotocolnode.vercel.app/css/2.6%20animate.css.css	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/css/2.6%20animate.css.css	(from https://rectifyprotocolnode.vercel.app/)
15:36:44	675/675	---M--	200	added ('OK')	text/css	etag:%222055197d5509a5682900de5fed13b8b1%22	https://rectifyprotocolnode.vercel.app/css/barcode.css	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/css/barcode.css	(from https://rectifyprotocolnode.vercel.app/)
15:36:44	8542/8542	---MCZ	200	added ('OK')	text/css	etag:W/%22007b07684d5d6b85ea52dc7ef49782b9%22	https://rectifyprotocolnode.vercel.app/css/index.css	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/css/index.css	(from https://rectifyprotocolnode.vercel.app/)
15:36:46	3995/3995	---MCZ	200	added ('OK')	text/css	etag:W/%22d19a4e010b4ab7dd71a3561155bf3f7e%22	https://rectifyprotocolnode.vercel.app/css/walletpage.css	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/css/walletpage.css	(from https://rectifyprotocolnode.vercel.app/)
15:36:47	163897/163897	---MCZ	200	added ('OK')	text/css	etag:W/%22e81bb6a22b29b1eb6eacbae5b45941b4%22	https://rectifyprotocolnode.vercel.app/css/bootstrap/bootstrap.min.css	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/css/bootstrap/bootstrap.min.css	(from https://rectifyprotocolnode.vercel.app/)
15:36:48	11449/11449	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd7d860d5eb8a9043b6f7a8b66d42830%22	https://rectifyprotocolnode.vercel.app/js/78d167673c.js	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/js/78d167673c.js	(from https://rectifyprotocolnode.vercel.app/)
15:36:50	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2014:36:58%20GMT	https://rectifyprotocolnode.vercel.app/files.coinmarketcap.com/static/widget/coinMarquee.js	C:/Users/user/Desktop/AAAmywebsite/aaaaahttps___rectifyprotocolnode.vercel.app_/rectifyprotocolnode.vercel.app/files.coinmarketcap.com/static/widget/coinMarquee.7.delayed	(from https://rectifyprotocolnode.vercel.app/)
